Эспрессо	218
Американо 0.25	322
Американо 0.35	322
Ice американо	322
Флэт уайт	468
Капучино 0.25	541
Капучино 0.35	541
Ice капучино	504
Латте	541
Ice латте	541
Какао	411
Мокко	630
Раф	774
Ice Мокко	616
Эспрессо тоник	718
Бамбл кофе	1726
Матча латте	738
Ice матча латте	806
Ice матча латте PEACH ME	892
Ice матча красный апельсин	892
Фраппе матча	1018
Фраппе матча клубника	1125
Чай облепиха	376
Ташкентский чай	353
Малиновый чай	409
Смузи киви-яблоко-банан	666
Смузи ежевика-банан	528
Смузи завтрак	750
Смузи солнечный бриз	600
Смузи GREEN ENERGY	729
Смузи клубничный	901
Милкшейк карамель	762
Милкшейк орео	911
Лимонад цитрус	620
Лимонад лесные ягоды	752
Лимонад грейпфрут-лаванда	532
Фреш апельсин	1602
